airport,source,model,timing,rows,target_days,first_target,last_target,available_at_rows,fetched_at_rows,evidence_class
CYYZ,open-meteo,ecmwf_ifs025,D-1,3,3,2026-07-27,2026-08-11,1,3,historical-causal
CYYZ,open-meteo,ecmwf_ifs025,D-2+,3,3,2026-07-28,2026-08-12,1,3,historical-causal
CYYZ,open-meteo,ecmwf_ifs025,Live,6,6,2026-07-24,2026-08-10,1,6,historical-causal
CYYZ,open-meteo,gfs_global,D-1,3,3,2026-07-27,2026-08-11,1,3,historical-causal
CYYZ,open-meteo,gfs_global,D-2+,3,3,2026-07-28,2026-08-12,1,3,historical-causal
CYYZ,open-meteo,gfs_global,Live,6,6,2026-07-24,2026-08-10,1,6,historical-causal
CYYZ,open-meteo,icon_global,D-1,3,3,2026-07-27,2026-08-11,1,3,historical-causal
CYYZ,open-meteo,icon_global,D-2+,3,3,2026-07-28,2026-08-12,1,3,historical-causal
CYYZ,open-meteo,icon_global,Live,6,6,2026-07-24,2026-08-10,1,6,historical-causal
CYYZ,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
CYYZ,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
CYYZ,previous-runs,icon_global,D-1,362,362,2025-07-19,2026-07-18,0,362,reconstructed-research
EDDM,meteoblue,meteoblue,D-1,20,4,2026-08-12,2026-08-15,20,20,historical-causal
EDDM,meteoblue,meteoblue,D-2+,100,8,2026-08-13,2026-08-20,100,100,historical-causal
EDDM,meteoblue,meteoblue,D0-morning,9,3,2026-08-12,2026-08-14,9,9,historical-causal
EDDM,meteoblue,meteoblue,Live,26,19,2026-07-27,2026-08-14,26,26,historical-causal
EDDM,open-meteo,ecmwf_ifs025,D-1,28,4,2026-08-12,2026-08-15,22,28,historical-causal
EDDM,open-meteo,ecmwf_ifs025,D-2+,28,4,2026-08-13,2026-08-16,22,28,historical-causal
EDDM,open-meteo,ecmwf_ifs025,D0-morning,9,3,2026-08-12,2026-08-14,6,9,historical-causal
EDDM,open-meteo,ecmwf_ifs025,Live,34,19,2026-07-27,2026-08-14,20,34,historical-causal
EDDM,open-meteo,gfs_global,D-1,28,4,2026-08-12,2026-08-15,22,28,historical-causal
EDDM,open-meteo,gfs_global,D-2+,28,4,2026-08-13,2026-08-16,22,28,historical-causal
EDDM,open-meteo,gfs_global,D0-morning,9,3,2026-08-12,2026-08-14,8,9,historical-causal
EDDM,open-meteo,gfs_global,Live,34,19,2026-07-27,2026-08-14,19,34,historical-causal
EDDM,open-meteo,icon_eu,D-1,19,4,2026-08-12,2026-08-15,12,19,historical-causal
EDDM,open-meteo,icon_eu,D-2+,19,4,2026-08-13,2026-08-16,12,19,historical-causal
EDDM,open-meteo,icon_eu,D0-morning,3,3,2026-08-12,2026-08-14,2,3,historical-causal
EDDM,open-meteo,icon_eu,Live,31,19,2026-07-27,2026-08-14,16,31,historical-causal
EDDM,open-meteo,icon_global,D-1,28,4,2026-08-12,2026-08-15,23,28,historical-causal
EDDM,open-meteo,icon_global,D-2+,28,4,2026-08-13,2026-08-16,23,28,historical-causal
EDDM,open-meteo,icon_global,D0-morning,9,3,2026-08-12,2026-08-14,8,9,historical-causal
EDDM,open-meteo,icon_global,Live,34,19,2026-07-27,2026-08-14,20,34,historical-causal
EDDM,open-meteo,meteofrance_arpege_europe,D-1,19,4,2026-08-12,2026-08-15,18,19,historical-causal
EDDM,open-meteo,meteofrance_arpege_europe,D-2+,19,4,2026-08-13,2026-08-16,18,19,historical-causal
EDDM,open-meteo,meteofrance_arpege_europe,D0-morning,3,3,2026-08-12,2026-08-14,3,3,historical-causal
EDDM,open-meteo,meteofrance_arpege_europe,Live,31,19,2026-07-27,2026-08-14,21,31,historical-causal
EDDM,open-meteo,ukmo_global_deterministic_10km,D-1,19,4,2026-08-12,2026-08-15,15,19,historical-causal
EDDM,open-meteo,ukmo_global_deterministic_10km,D-2+,19,4,2026-08-13,2026-08-16,15,19,historical-causal
EDDM,open-meteo,ukmo_global_deterministic_10km,D0-morning,3,3,2026-08-12,2026-08-14,3,3,historical-causal
EDDM,open-meteo,ukmo_global_deterministic_10km,Live,31,19,2026-07-27,2026-08-14,18,31,historical-causal
EDDM,previous-runs,ecmwf_ifs025,D-1,368,368,2025-07-19,2026-07-21,0,368,reconstructed-research
EDDM,previous-runs,gfs_global,D-1,368,368,2025-07-19,2026-07-21,0,368,reconstructed-research
EDDM,previous-runs,icon_eu,D-1,365,365,2025-07-22,2026-07-21,0,365,reconstructed-research
EDDM,previous-runs,icon_global,D-1,366,366,2025-07-19,2026-07-21,0,366,reconstructed-research
EDDM,previous-runs,meteofrance_arpege_europe,D-1,365,365,2025-07-22,2026-07-21,0,365,reconstructed-research
EDDM,previous-runs,ukmo_global_deterministic_10km,D-1,335,335,2025-07-22,2026-07-21,0,335,reconstructed-research
EFHK,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
EFHK,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
EFHK,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
EFHK,open-meteo,ecmwf_ifs025,Live,2,2,2026-08-09,2026-08-10,2,2,historical-causal
EFHK,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
EFHK,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
EFHK,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
EFHK,open-meteo,gfs_global,Live,2,2,2026-08-09,2026-08-10,2,2,historical-causal
EFHK,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
EFHK,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
EFHK,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
EFHK,open-meteo,icon_global,Live,2,2,2026-08-09,2026-08-10,2,2,historical-causal
EFHK,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
EFHK,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
EFHK,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
EGLL,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
EGLL,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
EGLL,open-meteo,ecmwf_ifs025,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
EGLL,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
